Code / Référence,Désignation,Quantité,Délai Approvisionnement,Coût achat pièce (€),Temps CAO (h)
D119,Nez_Gauche,1,15-20 jours,85000,156
D120,Nez_Droit,1,15-20 jours,85000,156
D145,Queue_Arrière_Gauche,1,10-15 jours,65000,98
D144,Queue_Arrière_Droite,1,10-15 jours,65000,98
D142,Moteur,4,30-45 jours,2500000,512
D088,Fuselage_Centrale,6,20-25 jours,1200000,376
D122,Aileron_Arrière,2,12-18 jours,42000,74
D278,Queue_Arrière,1,10-15 jours,75000,86
D116,Element_Aile,2,15-20 jours,320000,192
D117,Structure_Aile,2,15-20 jours,380000,214
D234,Boitier_Electronique,1,25-35 jours,250000,126
A018,Axe_Cylindrique,5,7-10 jours,500,10
A415,Element_Structure,8,12-18 jours,2500,26
A413,Element_Structure,4,12-18 jours,2500,26
A235,Element_Structure,6,15-20 jours,2000,22
A417,Element_Structure,6,15-20 jours,2000,22
C769,Element_Structure,1,20-25 jours,1800,18
C775,Element_Structure,2,20-25 jours,1800,18
A437,Element_Structure,4,25-30 jours,3500,32
A416,Element_Structure,1,12-18 jours,2300,24
C768,Element_Structure,5,20-25 jours,1900,20
A806,Element_Structure,13,10-15 jours,2200,22
C483,Element_Structure,2,15-20 jours,1700,16
C330,Element_Structure,4,20-25 jours,2000,20
A012,Element_Structure,2,7-10 jours,1600,14
A423,Train_Atterissage,2,25-35 jours,450000,286
A247,Visserie,2,5-7 jours,50,4
A511,Visserie,29,5-7 jours,50,4
A637,Visserie,56,5-7 jours,50,4
D005,Rivet,10,7-10 jours,25,2
A337,Ecrou_Métalique,73,5-7 jours,30,2
D277,Ecrou_Plastique,12,7-10 jours,40,3
A138,Rondelle_Platte,8,5-7 jours,15,1
A623,Roue_Train_Atterissage,10,25-35 jours,75000,124
A238,Entretoise,2,7-10 jours,100,6
A259,Entretoise,12,7-10 jours,100,6
D010,Agraphe_Faisceau,4,10-15 jours,75,5
C984,Outillage_Tournevis,1,7-10 jours,250,7
C993,Outillage_Clé_Serrage,1,7-10 jours,300,8
C995,Stickers_Peinture_Avion,1,5-7 jours,50,2
